PRDID;LOCFR;LOCID;ADJUSTEDTRANSPORT;TRANSPORT;SC1STOREDPREVTRANSPFOOTPRFINAL;SC1STOREDTRANSPFOOTPRFINAL
LEGO-DUCK;DK01;US-EAST;850;1000;45.5;38.2
LEGO-DUCK;DK01;US-WEST;650;800;52.3;44.8
LEGO-DUCK;DK01;EU-CENTRAL;1200;1200;28.7;28.7
LEGO-DUCK;DK01;ASIA-PAC;420;500;68.9;59.3
RED-PLATE-BRICK;DK01;US-EAST;1200;1500;32.1;27.5
RED-PLATE-BRICK;DK01;EU-CENTRAL;2000;2000;18.4;18.4
YELLOW-PLATE-BRICK;DK01;US-EAST;1800;2200;35.7;30.2
YELLOW-PLATE-BRICK;DK01;EU-CENTRAL;3200;3200;19.8;19.8
DUCK-EYE;DK01;US-EAST;180;200;8.2;7.5
DUCK-EYE;DK01;EU-CENTRAL;350;350;5.1;5.1
